time_s,q1_rad,dq1_rad_s,w_fl_rad_s,q2_rad,dq2_rad_s,w_fr_rad_s,q3_rad,dq3_rad_s,w_bl_rad_s,q4_rad,dq4_rad_s,w_br_rad_s
0.000000,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,0.000000,1.348315,-0.932805,0.000000,1.348315
0.333333,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,-0.000000,1.348315,-0.932805,0.000000,1.348315
0.666667,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,0.000000,1.348315,-0.932805,0.000000,1.348315
1.000000,-0.977384,0.000000,1.348315,-0.575216,-0.000000,1.348315,-0.656188,0.000000,1.348315,-0.932805,-0.000000,1.348315
1.333333,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,0.000000,1.348315,-0.932805,0.000000,1.348315
1.666667,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,-0.000000,1.348315,-0.932805,0.000000,1.348315
2.000000,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,0.000000,1.348315,-0.932805,0.000000,1.348315
2.333333,-0.977384,0.000000,1.348315,-0.575216,-0.000000,1.348315,-0.656188,0.000000,1.348315,-0.932805,-0.000000,1.348315
2.666667,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,0.000000,1.348315,-0.932805,0.000000,1.348315
3.000000,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,-0.000000,1.348315,-0.932805,0.000000,1.348315
3.333333,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,0.000000,1.348315,-0.932805,0.000000,1.348315
3.666667,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,-0.000000,1.348315,-0.932805,0.000000,1.348315
4.000000,-0.977384,0.000000,1.348315,-0.575216,-0.000000,1.348315,-0.656188,0.000000,1.348315,-0.932805,-0.000000,1.348315
4.333333,-0.977384,0.000000,1.348315,-0.575216,0.000000,1.348315,-0.656188,-0.000000,1.348315,-0.932805,0.000000,1.348315
4.666667,-0.890118,0.261799,0.000000,-0.609015,-0.101398,0.484626,-0.706278,-0.150272,0.471910,-0.878241,0.163690,0.471910
5.000000,-0.767945,0.366519,0.671722,-0.642076,-0.099183,0.069100,-0.791655,-0.256130,-0.000000,-0.792838,0.256209,-0.000000
5.333333,-0.645772,0.366519,0.662904,-0.676691,-0.103845,0.128622,-0.866194,-0.223618,-0.000000,-0.716719,0.228358,-0.000000
5.666667,-0.532325,0.340339,0.648822,-0.697552,-0.062584,0.187124,-0.944938,-0.236232,-0.000000,-0.641422,0.225891,-0.000000
6.000000,-0.418879,0.340339,0.629588,-0.718524,-0.062914,0.244139,-1.016374,-0.214306,-0.000000,-0.573323,0.204296,-0.000000
6.333333,-0.305433,0.340339,0.605355,-0.738890,-0.061100,0.299216,-1.081798,-0.196274,-0.000000,-0.511839,0.184450,-0.000000
6.666667,-0.200713,0.314159,0.576316,-0.744845,-0.017863,0.351917,-1.153102,-0.213909,-0.000000,-0.450163,0.185028,-0.000000
7.000000,-0.095993,0.314159,0.542700,-0.749673,-0.014485,0.401824,-1.219081,-0.197939,-0.000000,-0.394937,0.165679,-0.000000
7.333333,0.008727,0.314159,0.504775,-0.752961,-0.009864,0.448540,-1.280135,-0.183163,-0.000000,-0.346176,0.146282,-0.000000
7.666667,0.113446,0.314159,0.462841,-0.754378,-0.004253,0.491694,-1.336423,-0.168864,-0.000000,-0.304052,0.126374,-0.000000
8.000000,0.209440,0.287979,0.417233,-0.741210,0.039504,0.530944,-1.397672,-0.183746,-0.000000,-0.262826,0.123678,-0.000000
8.333333,0.305433,0.287979,0.368312,-0.725999,0.045633,0.565979,-1.453444,-0.167317,-0.000000,-0.229120,0.101119,-0.000000
8.666667,0.401426,0.287979,0.316466,-0.708559,0.052321,0.596519,-1.503490,-0.150136,-0.000000,-0.203369,0.077252,-0.000000
9.000000,0.497419,0.287979,0.262107,-0.688790,0.059309,0.622323,-1.547412,-0.131767,-0.000000,-0.186071,0.051894,-0.000000
9.333333,0.610865,0.340339,0.205667,-0.690907,-0.006351,0.643185,-1.566973,-0.058682,-0.000000,-0.188701,-0.007891,-0.000000
9.666667,0.706858,0.287979,0.115236,-0.707194,-0.048861,0.488156,-1.565080,0.005678,-0.000000,-0.204100,-0.046196,-0.000000
10.000000,0.794125,0.261799,0.081855,-0.711752,-0.013675,0.488460,-1.566949,-0.005607,-0.000000,-0.219571,-0.046413,-0.000000
10.333333,0.881391,0.261799,0.049773,-0.715438,-0.011057,0.492764,-1.564539,0.007232,-0.000000,-0.240194,-0.061869,-0.000000
10.666667,0.959931,0.235619,0.017479,-0.706461,0.026929,0.000000,-1.566558,-0.006059,-0.000000,-0.260322,-0.060385,-0.000000
11.000000,0.951204,-0.026180,1.314363,-0.732210,-0.077247,1.314337,-1.557030,0.028585,-0.000000,-0.232760,0.082687,-0.000000
11.333333,0.933751,-0.052360,1.369101,-0.752791,-0.061740,1.369101,-1.548935,0.024287,-0.000000,-0.202822,0.089813,-0.000000
11.666667,0.916298,-0.052360,1.369101,-0.773704,-0.062742,1.369101,-1.537345,0.034769,-0.000000,-0.176045,0.080332,-0.000000
12.000000,0.898845,-0.052360,1.369101,-0.794884,-0.063538,1.369101,-1.522284,0.045184,-0.000000,-0.152474,0.070714,-0.000000
12.333333,0.881391,-0.052360,1.369101,-0.816275,-0.064174,1.369101,-1.503768,0.055547,-0.000000,-0.132145,0.060987,-0.000000
12.666667,0.855211,-0.078540,1.369101,-0.825903,-0.028885,1.369101,-1.491491,0.036830,-0.000000,-0.108613,0.070594,-0.000000
13.000000,0.829031,-0.078540,1.369101,-0.835644,-0.029222,1.369101,-1.476016,0.046425,-0.000000,-0.088168,0.061337,-0.000000
13.333333,0.802851,-0.078540,1.369101,-0.845456,-0.029436,1.369101,-1.457377,0.055919,-0.000000,-0.070816,0.052056,-0.000000
13.666667,0.776672,-0.078540,1.369101,-0.855312,-0.029568,1.369101,-1.435595,0.065343,-0.000000,-0.056561,0.042765,-0.000000
