time_s,q1_rad,dq1_rad_s,w_fl_rad_s,q2_rad,dq2_rad_s,w_fr_rad_s,q3_rad,dq3_rad_s,w_bl_rad_s,q4_rad,dq4_rad_s,w_br_rad_s
0.000000,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
0.333333,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,-0.000000,1.071429,0.000000,0.000000,1.071429
0.666667,0.000000,0.000000,1.071429,-1.570796,-0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
1.000000,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,-0.000000,1.071429,0.000000,0.000000,1.071429
1.333333,0.000000,0.000000,1.071429,-1.570796,-0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
1.666667,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
2.000000,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
2.333333,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
2.666667,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
3.000000,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
3.333333,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
3.666667,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
4.000000,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
4.333333,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,-0.000000,1.071429,0.000000,0.000000,1.071429
4.666667,0.000000,0.000000,1.071429,-1.570796,-0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
5.000000,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
5.333333,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
5.666667,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,-0.000000,1.071429,0.000000,0.000000,1.071429
6.000000,0.000000,0.000000,1.071429,-1.570796,-0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
6.333333,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
6.666667,0.000000,0.000000,1.071429,-1.570796,0.000000,1.071429,-1.570796,-0.000000,1.071429,0.000000,0.000000,1.071429
7.000000,0.000000,0.000000,1.071429,-1.570796,-0.000000,1.071429,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
7.333333,0.000000,0.000000,1.071429,-1.570796,0.000000,0.000000,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
7.666667,0.000000,0.000000,1.071429,-1.570796,0.000000,0.000000,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
8.000000,0.000000,0.000000,1.071429,-1.570796,0.000000,0.000000,-1.570796,-0.000000,1.071429,0.000000,0.000000,1.071429
8.333333,0.000000,0.000000,1.071429,-1.570796,-0.000000,0.000000,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
8.666667,0.000000,0.000000,1.071429,-1.570796,0.000000,0.000000,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
9.000000,0.000000,0.000000,1.071429,-1.570796,0.000000,0.000000,-1.570796,0.000000,1.071429,0.000000,0.000000,1.071429
9.333333,0.017453,0.052360,1.071429,-1.588250,-0.052360,0.000000,-1.553343,0.052360,1.071429,-0.017453,-0.052360,1.071429
9.666667,0.017453,0.000000,0.000000,-1.588250,0.000000,0.000000,-1.553343,0.000000,-0.000000,-0.017453,0.000000,-0.000000
10.000000,0.017453,0.000000,-0.000000,-1.588250,0.000000,0.000000,-1.553343,0.000000,-0.000000,-0.017453,0.000000,-0.000000
10.333333,-0.069813,-0.261799,0.184121,-1.561823,0.079279,0.000000,-1.544121,0.027666,0.497592,-0.030970,-0.040549,0.497592
10.666667,-0.157080,-0.261799,0.000000,-1.553871,0.023858,0.000000,-1.505981,0.114420,0.642055,-0.073841,-0.128613,0.642055
11.000000,-0.244346,-0.261799,0.000000,-1.546838,0.021098,0.000000,-1.466764,0.117652,0.642055,-0.116869,-0.129084,0.642055
