time_s,q1_rad,dq1_rad_s,w_fl_rad_s,q2_rad,dq2_rad_s,w_fr_rad_s,q3_rad,dq3_rad_s,w_bl_rad_s,q4_rad,dq4_rad_s,w_br_rad_s
0.000000,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
0.333333,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
0.666667,0.000000,0.000000,-1.735955,-1.570796,-0.000000,-1.735955,-1.570796,-0.000000,-1.735955,0.000000,0.000000,-1.735955
1.000000,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,-0.000000,-1.735955
1.333333,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
1.666667,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,-0.000000,-1.735955,0.000000,0.000000,-1.735955
2.000000,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
2.333333,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
2.666667,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
3.000000,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
3.333333,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
3.666667,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
4.000000,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
4.333333,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
4.666667,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
5.000000,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,-1.735955
5.333333,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,0.000000
5.666667,0.000000,0.000000,-1.735955,-1.570796,0.000000,-1.735955,-1.570796,0.000000,-1.735955,0.000000,0.000000,0.000000
6.000000,-0.017453,-0.052360,-1.388764,-1.554546,0.048751,-1.388764,-1.567626,0.009512,-1.440578,-0.020353,-0.061058,0.000000
6.333333,-0.087266,-0.209440,-0.000000,-1.489513,0.195100,-0.000000,-1.535417,0.096626,-0.261900,-0.139705,-0.358058,0.000000
6.666667,-0.157080,-0.209440,-0.000000,-1.422442,0.201213,-0.000000,-1.504793,0.091873,-0.274008,-0.259511,-0.359418,0.000000
7.000000,-0.226893,-0.209440,-0.000000,-1.357638,0.194412,-0.000000,-1.473357,0.094308,-0.261165,-0.377862,-0.355052,0.000000
7.333333,-0.296706,-0.209440,-0.000000,-1.298657,0.176944,-0.000000,-1.438946,0.103232,0.000000,-0.493365,-0.346509,0.000000
