time_s,q1_rad,dq1_rad_s,w_fl_rad_s,q2_rad,dq2_rad_s,w_fr_rad_s,q3_rad,dq3_rad_s,w_bl_rad_s,q4_rad,dq4_rad_s,w_br_rad_s
0.000000,-0.628319,0.000000,1.900000,-0.951673,0.000000,1.900000,-0.902635,0.000000,1.900000,-0.658966,0.000000,1.900000
0.333333,-0.628319,0.000000,1.900000,-0.951673,-0.000000,1.900000,-0.902635,0.000000,1.900000,-0.658966,0.000000,1.900000
0.666667,-0.628319,0.000000,1.900000,-0.951673,0.000000,1.900000,-0.902635,-0.000000,1.900000,-0.658966,0.000000,1.900000
1.000000,-0.628319,0.000000,1.900000,-0.951673,0.000000,1.900000,-0.902635,0.000000,1.900000,-0.658966,-0.000000,1.900000
1.333333,-0.628319,0.000000,1.900000,-0.951673,-0.000000,1.900000,-0.902635,0.000000,1.900000,-0.658966,0.000000,1.900000
1.666667,-0.575959,0.157080,0.000000,-1.007648,-0.167922,0.800000,-0.936565,-0.101788,1.900000,-0.621422,0.112631,1.900000
2.000000,-0.506145,0.209440,0.000000,-1.073446,-0.197396,0.000000,-1.020681,-0.252349,1.900000,-0.541320,0.240305,1.900000
2.333333,-0.418879,0.261799,0.556778,-1.093355,-0.059725,0.020482,-1.073696,-0.159044,0.000000,-0.482124,0.177587,0.000000
2.666667,-0.331613,0.261799,0.553768,-1.112768,-0.058241,0.061334,-1.124886,-0.153570,0.000000,-0.425248,0.170629,0.000000
3.000000,-0.244346,0.261799,0.547765,-1.131464,-0.056086,0.101856,-1.174503,-0.148852,0.000000,-0.370662,0.163757,0.000000
3.333333,-0.157080,0.261799,0.538801,-1.149233,-0.053308,0.141826,-1.222748,-0.144734,0.000000,-0.318376,0.156859,0.000000
3.666667,-0.069813,0.261799,0.526924,-1.165882,-0.049947,0.181030,-1.269772,-0.141073,0.000000,-0.268430,0.149839,0.000000
4.000000,0.017453,0.261799,0.512199,-1.181230,-0.046043,0.219255,-1.315685,-0.137739,0.000000,-0.220896,0.142600,0.000000
4.333333,0.104720,0.261799,0.494705,-1.195106,-0.041629,0.256296,-1.360552,-0.134601,0.000000,-0.175880,0.135047,0.000000
4.666667,0.191986,0.261799,0.474537,-1.207352,-0.036738,0.291950,-1.404395,-0.131529,0.000000,-0.133519,0.127085,0.000000
5.000000,0.279253,0.261799,0.451804,-1.217820,-0.031403,0.326027,-1.447192,-0.128390,0.000000,-0.093982,0.118611,0.000000
5.333333,0.366519,0.261799,0.426629,-1.226372,-0.025656,0.358341,-1.488873,-0.125045,0.000000,-0.057475,0.109519,0.000000
5.666667,0.453786,0.261799,0.399148,-1.232882,-0.019530,0.388718,-1.529323,-0.121350,0.000000,-0.024242,0.099698,0.000000
6.000000,0.541052,0.261799,0.369509,-1.237236,-0.013061,0.416994,-1.568375,-0.117156,0.000000,0.005436,0.089035,0.000000
6.333333,0.663225,0.366519,0.337872,-1.279323,-0.126263,0.443016,-1.567495,0.002640,0.000000,-0.001990,-0.022279,0.000000
6.666667,0.785398,0.366519,0.304409,-1.317865,-0.115624,0.466643,-1.565508,0.005960,0.000000,-0.014070,-0.036238,0.000000
7.000000,0.907571,0.366519,0.269301,-1.353021,-0.105470,0.487748,-1.561965,0.010631,0.000000,-0.031091,-0.051063,0.000000
7.333333,1.029744,0.366519,0.232737,-1.385013,-0.095975,0.506216,-1.556321,0.016931,0.000000,-0.053376,-0.066857,0.000000
7.666667,1.134464,0.314159,0.194915,-1.395113,-0.030299,0.521947,-1.566725,-0.031212,0.000000,-0.064053,-0.032031,0.000000
8.000000,1.256637,0.366519,0.156039,-1.421830,-0.080152,0.534858,-1.554878,0.035542,0.000000,-0.097817,-0.101292,0.000000
8.333333,1.361357,0.314159,0.116320,-1.427595,-0.017295,0.544877,-1.557547,-0.008009,0.000000,-0.120563,-0.068238,0.000000
8.666667,1.466077,0.314159,0.075972,-1.431772,-0.012531,0.551950,-1.555307,0.006720,0.000000,-0.149807,-0.087731,0.000000
9.000000,1.553343,0.261799,0.035213,-1.415952,0.047460,0.000000,-1.566148,-0.032523,0.000000,-0.168513,-0.056119,0.000000
9.333333,1.553343,0.000000,1.229810,-1.416576,-0.001873,1.227154,-1.574346,-0.024593,0.000000,-0.133217,0.105888,0.000000
9.666667,1.535890,-0.052360,1.917429,-1.461356,-0.134341,1.917429,-1.542897,0.094345,0.000000,-0.102432,0.092355,0.000000
10.000000,1.500983,-0.104720,1.917429,-1.487861,-0.079514,1.917429,-1.521863,0.063103,0.000000,-0.062056,0.121130,0.000000
10.333333,1.466077,-0.104720,1.917429,-1.514621,-0.080281,1.917429,-1.492820,0.087129,0.000000,-0.029432,0.097871,0.000000
10.666667,1.431170,-0.104720,1.917429,-1.541495,-0.080622,1.917429,-1.455885,0.110805,0.000000,-0.004586,0.074537,0.000000
11.000000,1.396263,-0.104720,1.917429,-1.568432,-0.080811,1.917429,-1.411107,0.134333,0.000000,0.012480,0.051197,0.000000
11.333333,1.326450,-0.209440,1.917429,-1.557254,0.033535,1.917429,-1.397312,0.041386,0.000000,0.057319,0.134518,0.000000
11.666667,1.274090,-0.157080,1.650274,-1.559103,-0.005549,1.650274,-1.430374,-0.099188,0.960000,0.144591,0.261816,0.960000
12.000000,1.221730,-0.157080,1.500000,-1.563034,-0.011791,1.500000,-1.491540,-0.183498,1.500000,0.262047,0.352369,1.500000
12.333333,1.169371,-0.157080,1.500000,-1.572334,-0.027899,1.500000,-1.539252,-0.143134,1.500000,0.371418,0.328113,1.500000
12.666667,1.117011,-0.157080,1.500000,-1.585930,-0.040788,1.500000,-1.574121,-0.104609,1.500000,0.472244,0.302477,1.500000
13.000000,1.047198,-0.209440,1.820000,-1.600634,-0.044114,1.820000,-1.605938,-0.095451,1.820000,0.588579,0.349004,1.820000
13.333333,0.977384,-0.209440,2.000000,-1.627095,-0.079383,2.000000,-1.613993,-0.024165,2.000000,0.692908,0.312987,2.000000
13.666667,0.872665,-0.314159,2.000000,-1.622413,0.014046,2.000000,-1.634856,-0.062590,2.000000,0.813809,0.362703,2.000000
14.000000,0.785398,-0.261799,2.000000,-1.634370,-0.035869,2.000000,-1.620257,0.043800,2.000000,0.898432,0.253869,2.000000
14.333333,0.663225,-0.366519,2.000000,-1.611624,0.068237,2.000000,-1.621613,-0.004070,2.000000,0.999216,0.302352,2.000000
14.666667,0.558505,-0.314159,2.000000,-1.602193,0.028291,2.000000,-1.591554,0.090177,2.000000,1.064446,0.195691,2.000000
15.000000,0.436332,-0.366519,2.000000,-1.571247,0.092840,2.000000,-1.565997,0.076672,2.000000,1.130115,0.197007,2.000000
15.333333,0.349066,-0.261799,2.000000,-1.570807,0.001318,2.000000,-1.494222,0.215326,2.000000,1.145167,0.045155,2.000000
15.666667,0.261799,-0.261799,2.000000,-1.567165,0.010927,2.000000,-1.411074,0.249442,2.000000,1.145644,0.001430,2.000000
16.000000,0.191986,-0.209440,0.720000,-1.563080,0.012256,0.720000,-1.399917,0.033471,2.000000,1.200214,0.163712,2.000000
16.333333,0.139626,-0.157080,0.000000,-1.570179,-0.021299,0.000000,-1.416385,-0.049404,2.000000,1.276142,0.227783,2.000000
16.666667,0.069813,-0.209440,0.000000,-1.560418,0.029284,0.000000,-1.441679,-0.075881,2.000000,1.361488,0.256037,2.000000
17.000000,0.017453,-0.157080,0.000000,-1.570648,-0.030689,0.000000,-1.438475,0.009613,2.000000,1.420873,0.178156,2.000000
17.333333,-0.052360,-0.209440,0.000000,-1.562952,0.023087,0.000000,-1.444946,-0.019412,2.000000,1.489461,0.205765,2.000000
17.666667,-0.122173,-0.209440,0.000000,-1.555411,0.022624,0.000000,-1.442884,0.006185,2.000000,1.549671,0.180630,2.000000
18.000000,-0.157080,-0.104720,0.000000,-1.585273,-0.089587,0.000000,-1.394715,0.144506,2.000000,1.566271,0.049800,0.000000
